cluster_id,cluster_size,origin,filename,name
0,2,second,podar-ref/15.fa.sig,"CP000568.1 Clostridium thermocellum ATCC 27405, complete genome"
0,2,first,podar-ref/15.fa.sig,"CP000568.1 Clostridium thermocellum ATCC 27405, complete genome"
1,2,second,podar-ref/1.fa.sig,"CP001941.1 Aciduliprofundum boonei T469, complete genome"
1,2,first,podar-ref/1.fa.sig,"CP001941.1 Aciduliprofundum boonei T469, complete genome"
2,2,first,podar-ref/18.fa.sig,"CP001251.1 Dictyoglomus turgidum DSM 6724, complete genome"
2,2,second,podar-ref/18.fa.sig,"CP001251.1 Dictyoglomus turgidum DSM 6724, complete genome"
3,2,first,podar-ref/2.fa.sig,"CP001071.1 Akkermansia muciniphila ATCC BAA-835, complete genome"
3,2,second,podar-ref/2.fa.sig,"CP001071.1 Akkermansia muciniphila ATCC BAA-835, complete genome"
4,2,second,podar-ref/23.fa.sig,"NC_013968.1 Haloferax volcanii DS2 plasmid pHV1, complete sequence"
4,2,first,podar-ref/23.fa.sig,"NC_013968.1 Haloferax volcanii DS2 plasmid pHV1, complete sequence"
5,2,second,podar-ref/26.fa.sig,"CP000816.1 Ignicoccus hospitalis KIN4/I, complete genome"
5,2,first,podar-ref/26.fa.sig,"CP000816.1 Ignicoccus hospitalis KIN4/I, complete genome"
6,2,first,podar-ref/3.fa.sig,"AE000782.1 Archaeoglobus fulgidus DSM 4304, complete genome"
6,2,second,podar-ref/3.fa.sig,"AE000782.1 Archaeoglobus fulgidus DSM 4304, complete genome"
7,2,second,podar-ref/32.fa.sig,"AE010299.1 Methanosarcina acetivorans str. C2A, complete genome"
7,2,first,podar-ref/32.fa.sig,"AE010299.1 Methanosarcina acetivorans str. C2A, complete genome"
8,2,first,podar-ref/33.fa.sig,"NC_005213.1 Nanoarchaeum equitans Kin4-M chromosome, complete genome"
8,2,second,podar-ref/33.fa.sig,"NC_005213.1 Nanoarchaeum equitans Kin4-M chromosome, complete genome"
9,2,first,podar-ref/43.fa.sig,BX119912.1 Rhodopirellula baltica SH 1 complete genome
9,2,second,podar-ref/43.fa.sig,BX119912.1 Rhodopirellula baltica SH 1 complete genome
10,2,first,podar-ref/50.fa.sig,"CP000924.1 Thermoanaerobacter pseudethanolicus ATCC 33223, complete genome"
10,2,second,podar-ref/50.fa.sig,"CP000924.1 Thermoanaerobacter pseudethanolicus ATCC 33223, complete genome"
11,2,first,podar-ref/57.fa.sig,"BX571656.1 Wolinella succinogenes DSM 1740, complete genome"
11,2,second,podar-ref/57.fa.sig,"BX571656.1 Wolinella succinogenes DSM 1740, complete genome"
12,2,second,podar-ref/62.fa.sig,"BA000023.2 Sulfolobus tokodaii str. 7 DNA, complete genome"
12,2,first,podar-ref/62.fa.sig,"BA000023.2 Sulfolobus tokodaii str. 7 DNA, complete genome"
13,2,second,podar-ref/6.fa.sig,"NZ_JGWU01000001.1 Bordetella bronchiseptica D989 ctg7180000008197, whole genome shotgun sequence"
13,2,first,podar-ref/6.fa.sig,"NZ_JGWU01000001.1 Bordetella bronchiseptica D989 ctg7180000008197, whole genome shotgun sequence"
14,2,first,podar-ref/27.fa.sig,"CP001013.1 Leptothrix cholodnii SP-6, complete genome"
14,2,second,podar-ref/27.fa.sig,"CP001013.1 Leptothrix cholodnii SP-6, complete genome"
15,2,first,podar-ref/7.fa.sig,"NC_007951.1 Burkholderia xenovorans LB400 chromosome 1, complete sequence"
15,2,second,podar-ref/7.fa.sig,"NC_007951.1 Burkholderia xenovorans LB400 chromosome 1, complete sequence"
16,2,first,podar-ref/16.fa.sig,"NZ_CP015081.1 Deinococcus radiodurans R1 chromosome 1, complete sequence"
16,2,second,podar-ref/16.fa.sig,"NZ_CP015081.1 Deinococcus radiodurans R1 chromosome 1, complete sequence"
17,2,first,podar-ref/44.fa.sig,"NC_003911.12 Ruegeria pomeroyi DSS-3, complete genome"
17,2,second,podar-ref/44.fa.sig,"NC_003911.12 Ruegeria pomeroyi DSS-3, complete genome"
18,2,first,podar-ref/14.fa.sig,"CP000909.1 Chloroflexus aurantiacus J-10-fl, complete genome"
18,2,second,podar-ref/14.fa.sig,"CP000909.1 Chloroflexus aurantiacus J-10-fl, complete genome"
19,2,first,podar-ref/24.fa.sig,"NC_009972.1 Herpetosiphon aurantiacus DSM 785, complete genome"
19,2,second,podar-ref/24.fa.sig,"NC_009972.1 Herpetosiphon aurantiacus DSM 785, complete genome"
20,2,second,podar-ref/21.fa.sig,"AP009153.1 Gemmatimonas aurantiaca T-27 DNA, complete genome"
20,2,first,podar-ref/21.fa.sig,"AP009153.1 Gemmatimonas aurantiaca T-27 DNA, complete genome"
21,2,second,podar-ref/0.fa.sig,"CP001472.1 Acidobacterium capsulatum ATCC 51196, complete genome"
21,2,first,podar-ref/0.fa.sig,"CP001472.1 Acidobacterium capsulatum ATCC 51196, complete genome"
22,2,first,podar-ref/11.fa.sig,"CP000492.1 Chlorobium phaeobacteroides DSM 266, complete genome"
22,2,second,podar-ref/11.fa.sig,"CP000492.1 Chlorobium phaeobacteroides DSM 266, complete genome"
23,2,second,podar-ref/10.fa.sig,"CP001097.1 Chlorobium limicola DSM 245, complete genome"
23,2,first,podar-ref/10.fa.sig,"CP001097.1 Chlorobium limicola DSM 245, complete genome"
24,2,first,podar-ref/36.fa.sig,"CP001110.1 Pelodictyon phaeoclathratiforme BU-1, complete genome"
24,2,second,podar-ref/36.fa.sig,"CP001110.1 Pelodictyon phaeoclathratiforme BU-1, complete genome"
25,2,first,podar-ref/12.fa.sig,"CP000607.1 Chlorobium phaeovibrioides DSM 265, complete genome"
25,2,second,podar-ref/12.fa.sig,"CP000607.1 Chlorobium phaeovibrioides DSM 265, complete genome"
26,2,first,podar-ref/13.fa.sig,"AE006470.1 Chlorobium tepidum TLS, complete genome"
26,2,second,podar-ref/13.fa.sig,"AE006470.1 Chlorobium tepidum TLS, complete genome"
27,2,first,podar-ref/58.fa.sig,"NZ_KQ961402.1 Zymomonas mobilis strain ATCC 31823 Scaffold1, whole genome shotgun sequence"
27,2,second,podar-ref/58.fa.sig,"NZ_KQ961402.1 Zymomonas mobilis strain ATCC 31823 Scaffold1, whole genome shotgun sequence"
28,2,first,podar-ref/20.fa.sig,"AE009951.2 Fusobacterium nucleatum subsp. nucleatum ATCC 25586, complete genome"
28,2,second,podar-ref/20.fa.sig,"AE009951.2 Fusobacterium nucleatum subsp. nucleatum ATCC 25586, complete genome"
29,2,first,podar-ref/34.fa.sig,"AL954747.1 Nitrosomonas europaea ATCC 19718, complete genome"
29,2,second,podar-ref/34.fa.sig,"AL954747.1 Nitrosomonas europaea ATCC 19718, complete genome"
30,2,second,podar-ref/19.fa.sig,"NZ_KE136524.1 Enterococcus faecalis V583 acyDH-supercont2.1, whole genome shotgun sequence"
30,2,first,podar-ref/19.fa.sig,"NZ_KE136524.1 Enterococcus faecalis V583 acyDH-supercont2.1, whole genome shotgun sequence"
31,2,second,podar-ref/35.fa.sig,"NC_003272.1 Nostoc sp. PCC 7120 DNA, complete genome"
31,2,first,podar-ref/35.fa.sig,"NC_003272.1 Nostoc sp. PCC 7120 DNA, complete genome"
32,2,first,podar-ref/56.fa.sig,"AE017226.1 Treponema denticola ATCC 35405, complete genome"
32,2,second,podar-ref/56.fa.sig,"AE017226.1 Treponema denticola ATCC 35405, complete genome"
33,2,second,podar-ref/55.fa.sig,"AE017221.1 Thermus thermophilus HB27, complete genome"
33,2,first,podar-ref/55.fa.sig,"AE017221.1 Thermus thermophilus HB27, complete genome"
34,2,second,podar-ref/61.fa.sig,"NZ_DS996397.1 Desulfovibrio piger ATCC 29098 Scfld442, whole genome shotgun sequence"
34,2,first,podar-ref/61.fa.sig,"NZ_DS996397.1 Desulfovibrio piger ATCC 29098 Scfld442, whole genome shotgun sequence"
35,2,second,podar-ref/17.fa.sig,"NC_008751.1 Desulfovibrio vulgaris DP4, complete genome"
35,2,first,podar-ref/17.fa.sig,"NC_008751.1 Desulfovibrio vulgaris DP4, complete genome"
36,2,first,podar-ref/22.fa.sig,"AE017180.2 Geobacter sulfurreducens PCA, complete genome"
36,2,second,podar-ref/22.fa.sig,"AE017180.2 Geobacter sulfurreducens PCA, complete genome"
37,2,second,podar-ref/38.fa.sig,"AE009441.1 Pyrobaculum aerophilum str. IM2, complete genome"
37,2,first,podar-ref/38.fa.sig,"AE009441.1 Pyrobaculum aerophilum str. IM2, complete genome"
38,2,first,podar-ref/39.fa.sig,"CP000660.1 Pyrobaculum arsenaticum DSM 13514, complete genome"
38,2,second,podar-ref/39.fa.sig,"CP000660.1 Pyrobaculum arsenaticum DSM 13514, complete genome"
39,2,first,podar-ref/40.fa.sig,"CP000561.1 Pyrobaculum calidifontis JCM 11548, complete genome"
39,2,second,podar-ref/40.fa.sig,"CP000561.1 Pyrobaculum calidifontis JCM 11548, complete genome"
40,2,second,podar-ref/28.fa.sig,"NC_000909.1 Methanocaldococcus jannaschii DSM 2661, complete genome"
40,2,first,podar-ref/28.fa.sig,"NC_000909.1 Methanocaldococcus jannaschii DSM 2661, complete genome"
41,2,first,podar-ref/31.fa.sig,"AE009439.1 Methanopyrus kandleri AV19, complete genome"
41,2,second,podar-ref/31.fa.sig,"AE009439.1 Methanopyrus kandleri AV19, complete genome"
42,2,first,podar-ref/25.fa.sig,"CP001130.1 Hydrogenobaculum sp. Y04AAS1, complete genome"
42,2,second,podar-ref/25.fa.sig,"CP001130.1 Hydrogenobaculum sp. Y04AAS1, complete genome"
43,2,first,podar-ref/54.fa.sig,"CP001230.1 Persephonella marina EX-H1, complete genome"
43,2,second,podar-ref/54.fa.sig,"CP001230.1 Persephonella marina EX-H1, complete genome"
44,2,second,podar-ref/4.fa.sig,"AE015928.1 Bacteroides thetaiotaomicron VPI-5482, complete genome"
44,2,first,podar-ref/4.fa.sig,"AE015928.1 Bacteroides thetaiotaomicron VPI-5482, complete genome"
45,2,first,podar-ref/5.fa.sig,"CP000139.1 Bacteroides vulgatus ATCC 8482, complete genome"
45,2,second,podar-ref/5.fa.sig,"CP000139.1 Bacteroides vulgatus ATCC 8482, complete genome"
46,2,first,podar-ref/37.fa.sig,"AP009380.1 Porphyromonas gingivalis ATCC 33277 DNA, complete genome"
46,2,second,podar-ref/37.fa.sig,"AP009380.1 Porphyromonas gingivalis ATCC 33277 DNA, complete genome"
47,2,second,podar-ref/42.fa.sig,"BA000001.2 Pyrococcus horikoshii OT3 DNA, complete genome"
